,date_channel,count,date,channel_name
129,2017-03-13mdsi_help,37,2017-03-13,mdsi_help
130,2018-09-26mdsi_stds_proj,37,2018-09-26,mdsi_stds_proj
131,2016-10-22mdsi_electives,37,2016-10-22,mdsi_electives
132,2017-03-30ds_cool_stuff,37,2017-03-30,ds_cool_stuff
133,2018-05-18mdsi_dam_aut_18,37,2018-05-18,mdsi_dam_aut_18
134,2017-09-20dev_r,37,2017-09-20,dev_r
135,2018-09-17mdsi_stds_proj,37,2018-09-17,mdsi_stds_proj
136,2017-04-05dev_r,36,2017-04-05,dev_r
137,2016-10-22dev_r,36,2016-10-22,dev_r
138,2018-03-26dna,36,2018-03-26,dna
139,2016-10-18stack_underflow,36,2016-10-18,stack_underflow
140,2017-06-01mdsi_electives,36,2017-06-01,mdsi_electives
141,2017-06-15mdsi_dam_aut_18,36,2017-06-15,mdsi_dam_aut_18
142,2018-09-02mdsi_stds_proj,36,2018-09-02,mdsi_stds_proj
143,2017-04-21dev_r,36,2017-04-21,dev_r
144,2016-10-31dev_r,35,2016-10-31,dev_r
145,2016-08-11databusters,35,2016-08-11,databusters
146,2016-07-26stack_underflow,35,2016-07-26,stack_underflow
147,2017-06-02mdsi_electives,35,2017-06-02,mdsi_electives
148,2016-09-05databusters,35,2016-09-05,databusters
149,2016-08-05databusters,35,2016-08-05,databusters
150,2019-02-23dev_r,35,2019-02-23,dev_r
151,2017-04-09dev_r,34,2017-04-09,dev_r
152,2017-04-04dev_r,34,2017-04-04,dev_r
153,2018-03-22mdsi_announcements,34,2018-03-22,mdsi_announcements
154,2018-05-22mdsi_dam_aut_18,34,2018-05-22,mdsi_dam_aut_18
155,2017-06-02databusters,34,2017-06-02,databusters
156,2018-09-23inconvenienttruth,34,2018-09-23,inconvenienttruth
157,2018-08-11mdsi_stds_proj,34,2018-08-11,mdsi_stds_proj
158,2018-09-05mdsi_ilab2_spr_18,33,2018-09-05,mdsi_ilab2_spr_18
159,2018-05-23dadmat2,33,2018-05-23,dadmat2
160,2017-09-29pv_dam2017,33,2017-09-29,pv_dam2017
161,2019-03-21dev_r,33,2019-03-21,dev_r
162,2016-09-06pedxhack,33,2016-09-06,pedxhack
163,2018-04-14mdsi_dam_aut_18,33,2018-04-14,mdsi_dam_aut_18
164,2019-03-19mdsi_deeplearn_aut_19,33,2019-03-19,mdsi_deeplearn_aut_19
165,2018-10-17mdsi_electives,32,2018-10-17,mdsi_electives
166,2017-11-10ilab2_spring_2017,32,2017-11-10,ilab2_spring_2017
167,2018-06-05dam-assign-3,32,2018-06-05,dam-assign-3
168,2018-09-20inconvenienttruth,32,2018-09-20,inconvenienttruth
169,2018-09-25mdsi_stds_proj,32,2018-09-25,mdsi_stds_proj
170,2018-09-21spring_stds_assign2,32,2018-09-21,spring_stds_assign2
171,2016-10-24databusters,32,2016-10-24,databusters
172,2017-06-14mdsi_deeplearn_spr_17,32,2017-06-14,mdsi_deeplearn_spr_17
173,2016-12-12dev_r,31,2016-12-12,dev_r
174,2016-09-07databusters,31,2016-09-07,databusters
175,2016-10-25databusters,31,2016-10-25,databusters
176,2019-03-07dev_python,31,2019-03-07,dev_python
177,2016-11-06dev_r,31,2016-11-06,dev_r
178,2018-05-25dadmat2,31,2018-05-25,dadmat2
179,2018-09-28spring_stds_assign2,31,2018-09-28,spring_stds_assign2
180,2018-05-27groupadnan,31,2018-05-27,groupadnan
181,2018-05-13dna,31,2018-05-13,dna
182,2016-12-16dev_r,31,2016-12-16,dev_r
183,2018-04-11mdsi_dam_aut_18,31,2018-04-11,mdsi_dam_aut_18
184,2017-06-28dev_r,31,2017-06-28,dev_r
185,2019-01-31fliparound_chat,31,2019-01-31,fliparound_chat
186,2017-03-14mdsi-tadpoles,30,2017-03-14,mdsi-tadpoles
187,2016-08-14databusters,30,2016-08-14,databusters
188,2016-08-17ds_hackathon_unearth,30,2016-08-17,ds_hackathon_unearth
189,2018-05-20groupadnan,30,2018-05-20,groupadnan
190,2019-03-13mdsi_deeplearn_aut_19,30,2019-03-13,mdsi_deeplearn_aut_19
191,2017-04-27dev_r,30,2017-04-27,dev_r
192,2018-09-05mdsi_stds_proj,30,2018-09-05,mdsi_stds_proj
193,2017-05-24mdsi_announcements,30,2017-05-24,mdsi_announcements
194,2017-08-1636100decepticons,30,2017-08-16,36100decepticons
195,2018-04-24dna,29,2018-04-24,dna
196,2016-08-18ds_hackathon_unearth,29,2016-08-18,ds_hackathon_unearth
197,2017-10-04pv_dam2017,29,2017-10-04,pv_dam2017
198,2018-05-24groupadnan,29,2018-05-24,groupadnan
199,2017-09-2636100decepticons,29,2017-09-26,36100decepticons
200,2016-10-14dev_other,29,2016-10-14,dev_other
201,2016-09-29dev_r,29,2016-09-29,dev_r
202,2017-10-22dev_r,28,2017-10-22,dev_r
203,2019-03-18dev_data_vis,28,2019-03-18,dev_data_vis
204,2017-10-01pv_dam2017,28,2017-10-01,pv_dam2017
205,2016-09-01stack_underflow,28,2016-09-01,stack_underflow
206,2016-09-12databusters,28,2016-09-12,databusters
207,2017-06-21dev_r,28,2017-06-21,dev_r
208,2016-09-06mdsi_announcements,28,2016-09-06,mdsi_announcements
209,2016-06-06dev_r,28,2016-06-06,dev_r
210,2017-04-05dsi-at2-teamsatata,28,2017-04-05,dsi-at2-teamsatata
211,2016-08-17databusters,27,2016-08-17,databusters
212,2018-09-03mdsi_dam_spr_18,27,2018-09-03,mdsi_dam_spr_18
213,2016-08-08ds_hackathon_unearth,27,2016-08-08,ds_hackathon_unearth
214,2016-08-24mdsi_announcements,27,2016-08-24,mdsi_announcements
215,2016-10-04databusters,27,2016-10-04,databusters
216,2017-10-02pv_dam2017,27,2017-10-02,pv_dam2017
217,2016-08-09ds_privacy,27,2016-08-09,ds_privacy
218,2017-03-29mdsi_announcements,27,2017-03-29,mdsi_announcements
219,2018-06-03dam-assign-3,26,2018-06-03,dam-assign-3
220,2017-09-2436100decepticons,26,2017-09-24,36100decepticons
221,2016-09-06databusters,26,2016-09-06,databusters
222,2019-03-21dev_python,26,2019-03-21,dev_python
223,2018-09-21mdsi_stds_proj,26,2018-09-21,mdsi_stds_proj
224,2016-08-16databusters,26,2016-08-16,databusters
225,2016-10-21dev_r,26,2016-10-21,dev_r
226,2017-05-25mdsi_dam_aut_18,26,2017-05-25,mdsi_dam_aut_18
227,2017-09-1136100decepticons,26,2017-09-11,36100decepticons
228,2016-08-15ds_hackathon_unearth,26,2016-08-15,ds_hackathon_unearth
229,2017-08-3136100decepticons,25,2017-08-31,36100decepticons
230,2019-03-15dev_r,25,2019-03-15,dev_r
231,2016-09-14dev_r,25,2016-09-14,dev_r
232,2018-06-07mdsi_dam_aut_18,25,2018-06-07,mdsi_dam_aut_18
233,2018-09-20spring_stds_assign2,25,2018-09-20,spring_stds_assign2
234,2018-05-08dna,25,2018-05-08,dna
235,2018-05-21dadmat2,25,2018-05-21,dadmat2
236,2016-11-28dev_r,25,2016-11-28,dev_r
237,2016-05-28dev_python,25,2016-05-28,dev_python
238,2017-09-06mdsi_deeplearn_spr_17,25,2017-09-06,mdsi_deeplearn_spr_17
239,2017-03-31statistical_thinking,25,2017-03-31,statistical_thinking
240,2017-10-23mdsi_electives,24,2017-10-23,mdsi_electives
241,2017-04-22dev_r,24,2017-04-22,dev_r
242,2017-05-18dadm_aut_17,24,2017-05-18,dadm_aut_17
243,2018-05-14dna,24,2018-05-14,dna
244,2017-08-03mdsi_deeplearn_spr_17,24,2017-08-03,mdsi_deeplearn_spr_17
245,2019-02-16dev_python,24,2019-02-16,dev_python
246,2018-06-09mdsi_dam_aut_18,24,2018-06-09,mdsi_dam_aut_18
247,2017-04-07dev_r,24,2017-04-07,dev_r
248,2018-10-03mdsi_dam_spr_18,24,2018-10-03,mdsi_dam_spr_18
249,2019-02-28mdsi_deeplearn_spr_17,24,2019-02-28,mdsi_deeplearn_spr_17
250,2018-09-20multivariate_spr_18,24,2018-09-20,multivariate_spr_18
251,2016-09-16dev_r,24,2016-09-16,dev_r
252,2016-08-11dev_r,23,2016-08-11,dev_r
253,2018-09-18spring_stds_assign2,23,2018-09-18,spring_stds_assign2
254,2019-03-11mdsi_deeplearn_aut_19,23,2019-03-11,mdsi_deeplearn_aut_19
255,2017-02-12study-group,23,2017-02-12,study-group
256,2018-05-24dadmat2,23,2018-05-24,dadmat2
257,2017-04-28dev_r,23,2017-04-28,dev_r
258,2016-08-04social-mining,23,2016-08-04,social-mining
259,2018-09-26ds_jobs,23,2018-09-26,ds_jobs
260,2018-04-21mdsi_dam_aut_18,23,2018-04-21,mdsi_dam_aut_18
261,2016-10-22dev_python,23,2016-10-22,dev_python
262,2016-06-09dev_other,23,2016-06-09,dev_other
263,2018-10-13spring_stds_assign2,23,2018-10-13,spring_stds_assign2
264,2018-04-08dna,23,2018-04-08,dna
265,2017-09-2736100decepticons,23,2017-09-27,36100decepticons
266,2018-05-24dvn2018autteam4,23,2018-05-24,dvn2018autteam4
267,2017-01-11dev_r,23,2017-01-11,dev_r
268,2016-08-03databusters,23,2016-08-03,databusters
269,2019-03-01dev_r,23,2019-03-01,dev_r
270,2017-05-21mdsi_dam_aut_18,22,2017-05-21,mdsi_dam_aut_18
271,2017-09-1436100decepticons,22,2017-09-14,36100decepticons
272,2018-05-26dadmat2,22,2018-05-26,dadmat2
273,2016-08-22databusters,22,2016-08-22,databusters
274,2017-02-06dev_r,22,2017-02-06,dev_r
275,2017-08-02mdsi_deeplearn_spr_17,22,2017-08-02,mdsi_deeplearn_spr_17
276,2017-07-19mdsi_deeplearn_spr_17,22,2017-07-19,mdsi_deeplearn_spr_17
277,2017-03-24mdsi_announcements,22,2017-03-24,mdsi_announcements
278,2018-09-07mdsi_stds_proj,22,2018-09-07,mdsi_stds_proj
279,2016-09-11ds_hackathons,22,2016-09-11,ds_hackathons
280,2017-04-06ds_cool_stuff,22,2017-04-06,ds_cool_stuff
281,2016-08-13social-mining,22,2016-08-13,social-mining
282,2016-08-18dev_r,22,2016-08-18,dev_r
283,2016-08-25mdsi_announcements,22,2016-08-25,mdsi_announcements
284,2018-10-31dev_python,22,2018-10-31,dev_python
285,2016-09-02ds_hackathons,21,2016-09-02,ds_hackathons
286,2018-05-24mdsi_dam_aut_18,21,2018-05-24,mdsi_dam_aut_18
287,2017-08-05morningpeople,21,2017-08-05,morningpeople
288,2017-08-10mdsi_datacamp,21,2017-08-10,mdsi_datacamp
289,2019-03-12mdsi_deeplearn_aut_19,21,2019-03-12,mdsi_deeplearn_aut_19
290,2016-08-24ds_cool_stuff,21,2016-08-24,ds_cool_stuff
291,2017-05-28mdsi_dam_aut_18,21,2017-05-28,mdsi_dam_aut_18
292,2016-08-29databusters,21,2016-08-29,databusters
293,2016-11-29dev_r,20,2016-11-29,dev_r
294,2017-06-12mdsi_dam_aut_18,20,2017-06-12,mdsi_dam_aut_18
295,2018-10-01dev_r,20,2018-10-01,dev_r
296,2018-07-24dev_r,20,2018-07-24,dev_r
297,2018-11-07multivariate_spr_18,20,2018-11-07,multivariate_spr_18
298,2018-11-03multivariate_spr_18,20,2018-11-03,multivariate_spr_18
299,2017-03-23mdsi-tadpoles,20,2017-03-23,mdsi-tadpoles
300,2016-09-02pedxhack,20,2016-09-02,pedxhack
301,2017-03-26mdsi_electives,20,2017-03-26,mdsi_electives
302,2016-09-19databusters,20,2016-09-19,databusters
303,2016-08-29mdsi_announcements,20,2016-08-29,mdsi_announcements
304,2018-08-31mdsi_stds_proj,20,2018-08-31,mdsi_stds_proj
305,2017-03-12mdsi-tadpoles,20,2017-03-12,mdsi-tadpoles
306,2017-06-01ds_cool_stuff,20,2017-06-01,ds_cool_stuff
307,2017-06-03mdsi_electives,20,2017-06-03,mdsi_electives
308,2017-08-1736100decepticons,20,2017-08-17,36100decepticons
309,2018-08-07dev_r,20,2018-08-07,dev_r
310,2018-09-16spring_stds_assign2,20,2018-09-16,spring_stds_assign2
311,2016-08-13databusters,20,2016-08-13,databusters
312,2018-10-19mdsi_electives,20,2018-10-19,mdsi_electives
313,2018-08-14multivariate_spr_18,19,2018-08-14,multivariate_spr_18
314,2017-10-03dev_r,19,2017-10-03,dev_r
315,2018-04-26mdsi_dadm_aut_18,19,2018-04-26,mdsi_dadm_aut_18
316,2017-07-27mdsi_deeplearn_spr_17,19,2017-07-27,mdsi_deeplearn_spr_17
317,2017-03-12mdsi_help,19,2017-03-12,mdsi_help
318,2019-03-12dev_python,19,2019-03-12,dev_python
319,2018-03-07mdsi_dadm_aut_18,19,2018-03-07,mdsi_dadm_aut_18
320,2018-05-31mdsi_dam_aut_18,19,2018-05-31,mdsi_dam_aut_18
321,2019-03-05dev_python,19,2019-03-05,dev_python
322,2017-03-29ds_cool_stuff,19,2017-03-29,ds_cool_stuff
323,2017-03-09databusters,19,2017-03-09,databusters
324,2017-05-20databusters,19,2017-05-20,databusters
325,2017-04-03sleepyheads,19,2017-04-03,sleepyheads
326,2016-10-17ds_hackathons,18,2016-10-17,ds_hackathons
327,2017-05-27mdsi_electives,18,2017-05-27,mdsi_electives
328,2018-05-12dvn2018autteam4,18,2018-05-12,dvn2018autteam4
329,2016-10-09stack_underflow,18,2016-10-09,stack_underflow
330,2018-01-05mdsi_announcements,18,2018-01-05,mdsi_announcements
331,2016-08-25ds_hackathon_unearth,18,2016-08-25,ds_hackathon_unearth
332,2016-10-05databusters,17,2016-10-05,databusters
333,2016-08-19databusters,17,2016-08-19,databusters
334,2018-07-23mdsi_electives,17,2018-07-23,mdsi_electives
335,2018-04-17mdsi_dadm_aut_18,17,2018-04-17,mdsi_dadm_aut_18
336,2017-04-11sleepyheads,17,2017-04-11,sleepyheads
337,2018-09-26multivariate_spr_18,17,2018-09-26,multivariate_spr_18
338,2018-09-08mdsi_stds_proj,17,2018-09-08,mdsi_stds_proj
339,2017-05-19mdsi_cicaround_help,17,2017-05-19,mdsi_cicaround_help
340,2017-05-16mdsi_cicaround_help,17,2017-05-16,mdsi_cicaround_help
341,2017-03-14databusters,17,2017-03-14,databusters
342,2016-08-10ds_hackathon_unearth,17,2016-08-10,ds_hackathon_unearth
343,2016-11-08ds_cool_stuff,17,2016-11-08,ds_cool_stuff
344,2018-09-19mdsi_stds_proj,17,2018-09-19,mdsi_stds_proj
345,2019-02-03dev_python,17,2019-02-03,dev_python
346,2017-05-10dev_r,17,2017-05-10,dev_r
347,2018-04-27mdsi_dadm_aut_18,17,2018-04-27,mdsi_dadm_aut_18
348,2017-01-23online-courses,17,2017-01-23,online-courses
349,2017-04-28dev_machine_learning,17,2017-04-28,dev_machine_learning
350,2018-03-22dna,17,2018-03-22,dna
351,2017-03-19ds_hackathons,17,2017-03-19,ds_hackathons
352,2018-04-24mdsi_dadm_aut_18,17,2018-04-24,mdsi_dadm_aut_18
353,2016-11-16mdsi_electives,17,2016-11-16,mdsi_electives
354,2016-08-31ds_cool_stuff,17,2016-08-31,ds_cool_stuff
355,2016-09-04databusters,17,2016-09-04,databusters
356,2018-04-23mdsi_dadm_aut_18,17,2018-04-23,mdsi_dadm_aut_18
357,2018-08-20mdsi_stds_proj,17,2018-08-20,mdsi_stds_proj
358,2017-12-01dev_python,17,2017-12-01,dev_python
359,2018-09-24govhack2018,17,2018-09-24,govhack2018
360,2017-06-19mdsi_deeplearn_spr_17,17,2017-06-19,mdsi_deeplearn_spr_17
361,2018-08-01multivariate_spr_18,16,2018-08-01,multivariate_spr_18
362,2019-03-08dev_machine_learning,16,2019-03-08,dev_machine_learning
363,2018-09-11mdsi_dam_spr_18,16,2018-09-11,mdsi_dam_spr_18
364,2019-03-14ds_jobs,16,2019-03-14,ds_jobs
365,2017-08-06ds_cool_stuff,16,2017-08-06,ds_cool_stuff
366,2017-06-17mdsi_electives,16,2017-06-17,mdsi_electives
367,2017-03-14pmdd-aut2017-team2,16,2017-03-14,pmdd-aut2017-team2
368,2019-03-16dev_r,16,2019-03-16,dev_r
369,2017-06-11dev_r,16,2017-06-11,dev_r
370,2017-03-25dev_r,16,2017-03-25,dev_r
371,2018-09-04govhack2018,16,2018-09-04,govhack2018
372,2018-03-18excelsior,16,2018-03-18,excelsior
373,2017-03-16mdsi_electives,16,2017-03-16,mdsi_electives
374,2016-10-15dev_r,16,2016-10-15,dev_r
375,2017-04-07dsi-at2-teamsatata,16,2017-04-07,dsi-at2-teamsatata
376,2017-11-29mdsi_announcements,16,2017-11-29,mdsi_announcements
377,2017-10-29mdsi_electives,16,2017-10-29,mdsi_electives
378,2017-03-27dsi-at2-teamsatata,16,2017-03-27,dsi-at2-teamsatata
379,2019-03-19mdsi_dam_aut_19,16,2019-03-19,mdsi_dam_aut_19
380,2016-10-08ds_hackathons,16,2016-10-08,ds_hackathons
381,2017-03-23sleepyheads,16,2017-03-23,sleepyheads
382,2018-04-29mdsi_dadm_aut_18,16,2018-04-29,mdsi_dadm_aut_18
383,2017-08-14morningpeople,16,2017-08-14,morningpeople
384,2018-03-13excelsior,16,2018-03-13,excelsior
385,2016-08-13ds_hackathon_unearth,15,2016-08-13,ds_hackathon_unearth
386,2018-12-25dev_python,15,2018-12-25,dev_python
387,2016-09-13stack_underflow,15,2016-09-13,stack_underflow
388,2016-10-07dev_other,15,2016-10-07,dev_other
389,2017-06-29mdsi_deeplearn_spr_17,15,2017-06-29,mdsi_deeplearn_spr_17
390,2018-10-04hjl,15,2018-10-04,hjl
391,2017-09-1336100decepticons,15,2017-09-13,36100decepticons
392,2016-08-04mdsi_announcements,15,2016-08-04,mdsi_announcements
393,2016-08-14ds_hackathon_unearth,15,2016-08-14,ds_hackathon_unearth
394,2017-10-24mdsi_announcements,15,2017-10-24,mdsi_announcements
395,2018-04-09dna,15,2018-04-09,dna
396,2019-03-18dev_python,15,2019-03-18,dev_python
397,2017-04-04mdsi-tadpoles,15,2017-04-04,mdsi-tadpoles
398,2016-06-08hacking,15,2016-06-08,hacking
399,2017-12-27mdsi_deeplearn_spr_17,15,2017-12-27,mdsi_deeplearn_spr_17
400,2016-09-03pedxhack,15,2016-09-03,pedxhack
401,2017-09-1936100decepticons,15,2017-09-19,36100decepticons
402,2017-05-12mdsi_announcements,15,2017-05-12,mdsi_announcements
403,2017-10-18mdsi_deeplearn_spr_17,15,2017-10-18,mdsi_deeplearn_spr_17
404,2016-10-05mdsi,15,2016-10-05,mdsi
405,2016-06-09hacking,15,2016-06-09,hacking
406,2016-08-07databusters,15,2016-08-07,databusters
407,2018-05-04mdsi_dam_aut_18,15,2018-05-04,mdsi_dam_aut_18
408,2019-03-14mdsi_deeplearn_aut_19,15,2019-03-14,mdsi_deeplearn_aut_19
409,2017-02-02boardofstudies,15,2017-02-02,boardofstudies
410,2019-03-21mdsi_deeplearn_aut_19,15,2019-03-21,mdsi_deeplearn_aut_19
411,2018-09-23multivariate_spr_18,15,2018-09-23,multivariate_spr_18
412,2017-01-10dev_r,15,2017-01-10,dev_r
413,2018-08-25spring_stds_assign2,15,2018-08-25,spring_stds_assign2
414,2016-08-26dev_r,15,2016-08-26,dev_r
415,2018-03-19excelsior,14,2018-03-19,excelsior
